rank,name,symbol,market_cap,price,circulating_supply,volume(24h),%1h,%24h,%7d,image_url
147,1inch Network,1INCH,"$292,406,327",$0.2122,"1,377,703,022 1INCH *","$16,316,739",0.17%,1.65%,7.48%,https://s2.coinmarketcap.com/static/img/coins/32x32/8104.png
148,Dash,DASH,"$283,359,898",$23.24,"12,187,598 DASH","$38,377,095",0.14%,-0.30%,3.33%,https://s2.coinmarketcap.com/static/img/coins/32x32/131.png
149,Kusama,KSM,"$282,296,672",$17.35,"16,269,427 KSM *","$10,080,105",2.14%,2.62%,6.21%,https://s2.coinmarketcap.com/static/img/coins/32x32/5034.png
150,Cheems (cheems.pet),CHEEMS,"$280,560,295",$0.051496,"187,495,034,775,398 CHEEMS *","$33,320,227",-0.72%,-1.90%,53.99%,https://s2.coinmarketcap.com/static/img/coins/32x32/33280.png
151,MX Token,MX,"$280,889,157",$2.95,"94,954,334 MX *","$13,830,919",0.72%,0.82%,7.10%,https://s2.coinmarketcap.com/static/img/coins/32x32/4041.png
152,EigenLayer,EIGEN,"$279,942,782",$1.19,"234,977,761 EIGEN *","$44,007,926",0.49%,0.14%,8.43%,https://s2.coinmarketcap.com/static/img/coins/32x32/30494.png
153,Golem,GLM,"$278,885,149",$0.2788,"1,000,000,000 GLM *","$15,579,196",-0.05%,-0.75%,-0.72%,https://s2.coinmarketcap.com/static/img/coins/32x32/1455.png
154,SATS (Ordinals),SATS,"$277,770,918",$0.061322,"2,100,000,000,000,000 SATS *","$47,791,769",-2.08%,6.33%,8.77%,https://s2.coinmarketcap.com/static/img/coins/32x32/28194.png
155,Aethir,ATH,"$271,768,538",$0.03440,"7,899,322,677 ATH *","$45,191,613",0.34%,2.99%,-1.52%,https://s2.coinmarketcap.com/static/img/coins/32x32/30083.png
156,Creditcoin,CTC,"$270,857,521",$0.6234,"434,416,053 CTC *","$18,687,255",0.16%,-0.56%,-2.83%,https://s2.coinmarketcap.com/static/img/coins/32x32/5198.png
